標題,作者,人氣,日期,連結
Re: [新聞] 勞動基金重大弊端 國內投資組長涉貪操縱,j547,12,11月28日,https://www.ptt.cc/bbs/Stock/M.1606555167.A.F74.html
Re: [新聞] 勞動基金重大弊端 國內投資組長涉貪操縱,pickchu22001,24,11月28日,https://www.ptt.cc/bbs/Stock/M.1606556133.A.1D6.html
[標的] 2337 旺宏(多),Adickppt187,30,11月28日,https://www.ptt.cc/bbs/Stock/M.1606558751.A.8C4.html
[新聞] 獨家 | 台積電再爆「叛將」跳槽中國泉芯,pipiboygay,91,11月28日,https://www.ptt.cc/bbs/Stock/M.1606561392.A.754.html
Re: [請益] 如果大家都買ETF不買個股？,ea9715234,40,11月28日,https://www.ptt.cc/bbs/Stock/M.1606564169.A.586.html
Re: [新聞] 獨家 | 台積電再爆「叛將」跳槽中國泉芯,buteo,7,11月28日,https://www.ptt.cc/bbs/Stock/M.1606568815.A.8AF.html
[新聞] 中國工信部副部長：芯片行業出現盲目投資和爛尾項目,laptic,13,11月28日,https://www.ptt.cc/bbs/Stock/M.1606568866.A.B1E.html
Re: [請益] 如果大家都買ETF不買個股？,love942cg,17,11月28日,https://www.ptt.cc/bbs/Stock/M.1606569206.A.155.html
Re: [新聞] 開發金晚間將重訊 說明收購中國人壽,goodbye,2,11月28日,https://www.ptt.cc/bbs/Stock/M.1606570857.A.23A.html
[新聞] 納智捷轉型奏捷 喊明年賺錢,hvariables,,11月28日,https://www.ptt.cc/bbs/Stock/M.1606573318.A.4D8.html
[公告] cornea1231 違反板規 4-2-1 警告一次,yoche2000,,11月28日,https://www.ptt.cc/bbs/Stock/M.1606574501.A.7FD.html
Re: [請益] 如果大家都買ETF不買個股？,Xuxxin,40,11月28日,https://www.ptt.cc/bbs/Stock/M.1606575168.A.069.html
[請益] 近期該選高檔續強股還是低檔轉強股？,zakijudelo,21,11月28日,https://www.ptt.cc/bbs/Stock/M.1606575654.A.ED6.html
